,article url,title,article
0,https://ikon.mn/n/354p,Өнгөрсөн сард улсын хэмжээнд 10.5 сая тонн ачаа тээвэрлэсэн нь өмнөх оны мөн үеэс 26%-аар өссөн үзүүлэлт,"Зам тээврийн салбар энэ оны дөрөвдүгээр сард улсын хэмжээнд бүх төрлийн тээврээр 10.5 сая тонн ачаа тээвэрлэсэн талаарЗам, Тээврийн Хөгжлийн Яамнаас мэдээллээ.Энэ нь өмнөх оны мөн үеэс 25.7%-аар өссөн байна. Харин өссөн дүнгээр буюу эхний дөрвөн сард 38.9 сая тонн ачаа тээсэн нь өмнөх онтой харьцуулахад 20.9%-аар нэмэгджээ.Бүх төрлийн тээврээр 2024 оны дөрөвдүгээр сард 14.2 сая зорчигч (давхардсан тоогоор) зорчсон нь өмнөх оны мөн үетэй харьцуулахад 6.6%-аар өссөн бол оны эхнээс өссөн дүнгээр 48.9 сая зорчигч зорчсон нь өмнөх оны мөн үеэс 3.7%-аар нэмэгдсэн үзүүлэлт аж.2024 оны дөрөвдүгээр сард:Мөн сард Монгол Улсын авто замын боомтоор нийт 73,198 ачаатай тээврийн хэрэгсэл нэвтэрсэн байна.Үүнээс 11,222 тээврийн хэрэгсэл орсон нь өмнөх оны мөн үеэс 31.1%-аар, 61,976 тээврийн хэрэгсэл гарсан нь өмнөх оны мөн үеэс 5.6%-аар тус тус өссөн дүнтэй байгаа аж."
1,https://ikon.mn/n/354o,Шатахуун түгээхийн болон түргэн тусламжийн машин мөргөлдсөн осол гарчээ,"Хан-Уул дүүргийн нутаг дэвсгэрт шатахуун түгээхийн машин түргэн тусламжийн машинтай мөргөлдсөн зам тээврийн осол гарчээ.Ослын талаарТээврийн Цагдаагийн Албанаас тодруулахад “Хан-Уул дүүргийн 14 дүгээр хороо Өлзийт явах замд шатахуун түгээхийн машин түргэн тусламжийн машинтай мөргөлдсөн гэх ослын дуудлага өнөөдөр бүртгэгдсэн.Бидэнд ирсэн мэдээллээр гурван машин мөргөлдсөн байна. Ослын улмаас нэг иргэн машиндаа хавчуулагдсан.Одоогийн байдлаар хэргийн газрын үзлэг үргэлжлэн хийгдэж байгаа. Ослын дэлгэрэнгүй мэдээллийг Цагдаагийн Ерөнхий Газрын Хэвлэл мэдээллийн төвөөс өгөх байх"" гэв."
2,https://ikon.mn/n/354k,Монголын хөлбөмбөгийн шигшээ баг Азийн АШТ-ий урьдчилсан шатанд Зүүн Тиморын багтай сугалаа таарлаа,"2027 онд Саудын Араб улсад зохион байгуулагдах Азийн Цомын тэмцээний урьдчилсан шатанд өрсөлдөх багуудыг сонгон шалгаруулах сугалаа өнөөдөр Малайзын Куала Лумпур хотод боллоо.Үндэсний шигшээ баг уг тэмцээний хэсгийн шатны өмнөх тоглолтыг Зүүн Тиморын шигшээ багийн эсрэг хийхээр сугалаа татсан байна.Эхний тоглолт есдүгээр сарын 5-нд өрсөлдөгч багийн талбайд болох бол хариу тоглолт есдүгээр сарын 10-нд Монгол Улсад болох аж. Хоёр тоглолтын нийлбэр дүнгээр ялагчийг тодруулж, хэсгийн шатанд өрсөлдөх боломжтой болох юм.Манай шигшээ баг өмнө нь Зүүн Тиморын шигшээ багтай 2015 онд Дэлхийн Аварга Шалгаруулах Тэмцээн (ДАШТ)-ий урьдчилсан шат шатанд учраа таарч, хоёр тоглолтын нийлбэрээр 5:1-ээр ялагдсан билээ.Харин дараа нь Зүүн Тиморын шигшээ баг хуурамч бичиг баримтаар бразилчуудыг тоглуулж байсан нь илэрснээр холбоо нь тэмцээнд оролцох эрхээ хасуулж байсан түүхтэй.Эх сурвалж:Монголын Хөлбөмбөгийн Холбоо"
3,https://ikon.mn/n/354m,Цэцэг төвийн уулзварын зам засварын ажил маргааш эхэлнэ,"Цэцэг төвийн уулзвараас Цаг уур, орчны шинжилгээний газрын уулзвар хүртэлх авто замыг хааж засвар, шинэчлэлтийн ажлыг хийж гүйцэтгэхээр болжээ.Тодруулбал Сүхбаатар дүүрэг болон Чингэлтэй дүүргийн нутаг дэвсгэр, /Цэцэг төвийн уулзвараас Цаг уур, орчны шинжилгээний газрын уулзвар хүртэлх/ авто зам засвар, шинэчлэлтийн ажлыгЗасварын үеэр хашлага өндөрлөж зорчих хэсгийн түвшинд тааруулах, зорчих хэсгийн гадаргуугийн усыг шингээх худаг суурилуулах, Тэгшилгээний үе болон асфальт бетон хучилтын ажил хийж гүйцэтгэнэ. Мөн хэвтээ тэмдэглэгээ болон босоо тэмдэг суурилуулах ажлууд хийгдэнэ.Иймд иргэд, жолооч нар бусад замыг сонгон хөдөлгөөнд оролцохыг албаныхан зөвлөв."
4,https://ikon.mn/n/354h,"""Монголбанкны эх үүсвэрээр орон сууц авч буй иргэнд олгох ипотекийн зээлийн дээд хэмжээ нь 150 сая төгрөг байгаа""","Ипотекийн зээлийн үндсэн шалгуур болон зээл олгох хэмжээтэй холбоотой мэдээллийг Монголын Ипотекийн Корпорац(МИК)-аас тодрууллаа.""Одоогийн байдлаар 2.4 их наяд төгрөгийн 20,000 иргэний захиалга банкуудад ирсэн. Гэхдээ 1.2 их наядын эх үүсвэрийг бүрдүүлсэн байгаа.Ингэснээр 2024 онд захиалга ирүүлсэн иргэдийн тал хувь нь ипотекийн зээлд хамрагдана"" гэдгийгБарилга, хот байгуулалтын сайд Ц.Даваасүрэнөчигдөр ярьж байсан.Тэгвэл ипотекийн зээл олголт ба шалгуур үзүүлэлтийн талаар МИК-аас тодруулснаа хүргэж байна.-Ипотекийн зээлийн шалгуурт сүүлийн үед ямар нэг шинэ өөрчлөлт орсон уу. Үндсэн шалгуурууд юу байгаа вэ?-МИК нь Монголбанкнаас баталсан журмын дагуу банкуудын олгосон ипотекийн зээлийг шалгаж, шалгуур хангасан зээлүүдийг багцлан үнэт цаасжуулж байна.Орон сууцны ипотекийн санхүүжилтийн журмын 2023 оны аравдугаар сарын нэмэлт өөрчлөлтөөр орон нутагт орон сууц худалдан авч буй иргэдийн төлөх 30 хувийн урьдчилгаа төлбөрт батлан даалтын сан болон даатгалын компани батлан даалт гаргах боломж нь нээлттэй болсон.Мөн орон нутагт байр авч буй иргэдийн зээлийн дээд хэмжээ 100 сая байсныг 150 сая болгон нэмэгдүүлсэн.-Нийслэлд орон сууц авахаар төлөвлөж буй иргэн хамгийн ихдээ хэдэн төгрөгийн зээл авч болох вэ. 100 сая, 150 сая гэх мэтээр ялгаатай мэдээлэл гараад байгаа. Тэгвэл бодит нөхцөл байдал ямар байна вэ?-Монголбанкнаас банкуудад санхүүжилт өгч байгаа бөгөөд тус санхүүжилт дээр нэмж банкууд өөрсдөөсөө тодорхой хэмжээний эх үүсвэр гарган иргэдэд ипотекийн зээлийг олгож байна.Тодруулбал иргэдэд олгож буй ипотекийн зээлийнМонголбанкны эх үүсвэрээр орон сууц авч буй иргэнд олгох зээлийн дээд хэмжээ нь байршил хамаарахгүйгээр 150 сая төгрөг байгаа.Харин банкны эх үүсвэрээр санхүүжүүлж буй ипотекийн зээлийн хувьд банк бүрийн дотоод журмаас хамааран ялгаатай байна.-Одоогоор хэдэн иргэн ипотекийн зээлтэй байгаа вэ. Тэдэнд олгосон зээлийн дундаж хэмжээ хэд вэ?-Монголбанкны гуравдугаар сарын тайлангаар 86,626 өрхийн 5.3 тэрбум төгрөгийн ипотекийн зээл үлдэгдэлтэй гэж тусгасан байна.Үүнээс харахад үлдэгдэлтэй байгаа зээлийн дундаж нь 62 сая төгрөг байна.Харин 2023 онд хөтөлбөрийн хүрээнд Монголбанкнаас 741.7 тэрбум төгрөгийн санхүүжилтийг банкуудад олгожээ.Ипотекийн зээлийн багц худалдан авах шалгуур үзүүлэлтүүдийгЭНДдарж харах боломжтой."
5,https://ikon.mn/n/354e,"""207-р байрны галд өртсөн найман хувийг засуулаад орох боломжийг хангаж өгөхийг төр засгаас хүсэж байна""","Газын дэлбэрэлтэд өртсөн 207 дугаар байрны оршин суугчид одоогийн нөхцөл байдал болон төрөөс ямар арга хэмжээ авч байгаа талаар өнөөдөр мэдээлэл хийлээ.2024 оны нэгдүгээр сарын 24-ний өдөр ""Дашваанжил"" ХХК-ийн газ тээвэрлэж явсан машин, Патрол загварын машин Дүнжингаравын урд уулзвар дээр осол гаргасны улмаас галд 207 дугаар байрны нийт 63 өрхийн 218 оршин суугч өртөж орон гэргүй болсон юм.Ослын улмаас тус байранд амьдарч байсанБарилга хот байгуулалтын яамны барилгын дүгнэлттэй оршин суугчид тавдугаар сарын 1-нд танилцсан бөгөөд уг мэдээлэл нь Улсын Онцгой Комиссын дөрөвдүгээр сарын 4-нд хийсэн хэвлэлийн бага хурлаас зөрүүтэй байна.Оршин суугчдад мэдэгдэлгүйгээр хийсэн УОК-ын тус мэдэгдэл хэтэрхий нэг талыг барьсан сөрөг агуулгатай, дүгнэлтийн тоон дүнгүүдээс зөрсөн, ташаа мэдээлэл тараасан гэж үзэж байгаа гэдгийг оршин суугчид онцлов.Тус дүгнэлтийн талаар207-р байрны оршин суугч""УОК-оос нийт барилгын 86% бүрэн шатсан гэж мэдээлэл өгсөн. Гэтэл бодит дүгнэлт нь дээр нийт барилгын 8 гаруй хувь нь галд өртсөн бусад хувь нь огт галд өртөөгүй гэсэн байна. Нийт 63 айлаас үндсэн барилгын хийцэд байдаг найман давхрын нэг л айл мөн техникийн давхрын гуравхан айл галд өртсөн.Бусад айлуудын хувьд зарим өрөө рүү нь гал орсон. Иймд галд өртсөн найман хувийг л засуулаад байрандаа орох боломжийг л төр засагт хүргэмээр байна. Дүгнэлт дээр 10 айлын гадна фасад нь бүрэн шатсан, 45 айлын гадна фасад нь хагас шатсан, найман айлын фасад нь огт шатаагүй гэсэн байна. Гэтэл тэр чигтээ шатчихсан юм шиг мэдээлэл өгсөн"" гэв.Дүгнэлтийн талаар товч:"
6,https://ikon.mn/n/354l,“Grow with Google Mongolia” хөтөлбөрийн дэмжигч байгууллагаар Голомт банк ажиллаж байна,"Монгол Улсад анх удаа хэрэгжүүлж буй “Grow with Google Mongolia” хөтөлбөрийн хүрээнд Голомт банк дэмжигч байгууллагаар ажиллаж байна.Уг хөтөлбөрөөр дамжуулан дотоодын томоохон компаниуд оролцогчдыг ажлын байранд бэлдэх зөөлөн ур чадварын сургалтад хамруулж, тухайн ажлын байранд дадлага хийх, практик туршлагаа нэмэгдүүлэх боломжоор хангаж байгаа юм.Голомт банкны хувьд тухайн хөтөлбөрт хамрагдаж буй оролцогчдод зориулан ажлын ярилцлагад хэрхэн өөрийгөө бэлтгэх, карьер төлөвлөлтийн чиглэлээр зөвлөгөө өглөө. “Нээлттэй банк” стратегийн хүрээнд Голомт банк тасралтгүй суралцах соёлыг бэхжүүлэн ажиллаж байна.Сайн сайхныг санхүүжүүлнэ"
7,https://ikon.mn/n/354j,"Хуримтлалын сангийн дансанд өнөөдөр Эрдэнэт, Оюутолгой, Тавантолгойн 34% шилжиж, ₮500 тэрбум төвлөрчээ","Үндэсний баялгийн сангийн тухай хууль хэрэгжиж эхэлсэнтэй холбоотойгоор Хуримтлалын сангийн данс нээх үйл ажиллагаа өнөөдөр болов. “Эрдэнэс Монгол”-ын эзэмшлийн стратегийн ордуудын 34 хувьд ногдох ногдол ашиг иргэдийн Хуримтлалын санд төвлөрөх юм байна.Засгийн газрын хэвлэлийн хэлтсээс мэдээлснээр өнөөдөр Хуримтлалын санд Эрдэнэтийн 34, Оюутолгойн 34, Тавантолгойн 34 хувь шилжиж, “Эрдэнэс Монгол” нэгдэл 500 тэрбум төгрөгийг энэ санд шилжүүлж, орон сууцны хөтөлбөрийн эх үүсвэрийг нэмэгдүүлжээ. Ингэснээр ипотекийн зээлийн эх үүсвэр 1.2 их наяд төгрөг болж, хүлээлгэд байсан 10,000 айл өрх орон сууцны зээлийн хөтөлбөрт хамрагдах боломж бүрдэж байгаа аж.Хуримтлалын санг Сингапурын Хуримтлалын сангийн загварт тулгуурлан хөгжүүлж, иргэдэд орон сууц, боловсрол, эрүүл мэндийн чиглэлээр дэмжлэг үзүүлэхэд зориулах гэнэ.Улсын хэмжээнд энэ оны тавдугаар сарын 1-ний байдлаар нийт 20.1 мянган иргэн ипотекийн зээлд хамрагдах хүсэлтээ өгөөд байгаагийн 3,520 нь орон нутагт, үлдсэн 16,531 нь Улаанбаатарт байна. Он гарснаас хойш эхний дөрвөн сарын байдлаар улсын хэмжээнд 300 гаруй тэрбум төгрөгийн ипотекийн зээлийг 2,600 гаруй иргэнд олгожээ.Үндэсний баялгийн сан Ирээдүйн өв сан, Хөгжлийн сан, Хуримтлалын сан гэсэн гурван данстай байна."
8,https://ikon.mn/n/354i,Буудлагын Дэлхийн цомын тэмцээнд О.Есүгэн наймдугаар байрт шалгарлаа,"Азербайжаны нийслэл Баку хотноо буудлагын Дэлхийн цомын тэмцээн болж буй билээ. Өчигдөр 50 метрийн гурван байдлаас 60 сум буудах дасгалд О.Есүгэн 593 оноогоор гуравдугаар байрт шалгарч, финалд өрсөлдөх эрхтэй болсон.Энэ дасгалд Г.Нандинзаяа 577 оноогоор 58-д, эрчүүдийн ангилалд Н.Баяраа 584 оноогоор 37-д, Б.Эрхэмбаяр 581 оноогоор 51-д жагссан юм.Шигшээд шалгарсан О.Есүгэн 406.6 оноогоор наймдугаар байранд орлоо.Энэ дасгалд дэлхийн гурван удаагийн аварга, Германы Анна Янссен алтан медаль хүртлээ. Мөнгөн медалийг Токиогийн олимпын аварга, Швейцарын Нина Кристен, хүрлийг БНХАУ-ын Хан Жа Ю зүүлээ."
9,https://ikon.mn/n/354g,Бороотой үеэр Сүхбаатар дүүргийн ногоон байгууламжуудад бордоотой усалгаа хийжээ,"Өнөөдөр өглөө бороотой байсан ч Сүхбаатар дүүргийн хэмжээнд ногоон байгууламжийн арчилгааны ААН-үүд бордоотой усалгааг хийсэн байна. Гэвч ""Бороотой өдөр хотыг угааж байна” гэх бичлэг цахим сүлжээнд тавигджээ. Уг асуудалд албаны хүн тайлбар өгөв.УБЗАА-ны Хотын ногоон байгууламж, цэцэрлэгжүүлэлтийн хэлтсийн дарга С.Эрдэнэсайхан ""Улаанбаатар хотын есөн дүүргийн хэмжээнд нийт 129.5 га талбайд ногоон байгууламжийн арчилгаа хийгддэг. Өнгөрсөн гуравдугаар сараас ногоон байгууламжийн цэнэг усалгаа, түүвэр цэвэрлэгээ зэрэг 22 төрлийн ажилбар хийгдэж эхэлсэн.Мөн ногоон байгууламжийн бордоотой усалгаанууд хийгдэж байна. Дүүрэг бүрийн ногоон байгууламжид гэрээт байгууллагууд хуваарийн дагуу бордоотой усалгааг хийдэг. Усалгаа хийж буй усны машин дотор бордоогоо найруулсан байдаг юм. Чийгшил авсан газар бордоотой усалгааг хийвэл илүү шингэж, үр шим сайтай болдог.Өнөөдөр өглөө бороотой байсан ч Сүхбаатар дүүргийн хэмжээнд ногоон байгууламжийн арчилгааны ААН-үүд бордоотой усалгааг хийсэн байна"" гэж тайлбарлалаа.Борооны ус нь ногоон байгууламжид таван см чийг өгдөг байна. Ингэж чийгшил өгсөн үед бордоотой усалгааг хийснээр гүндээ 20 см чийг өгч, илүү үр дүнтэй байдаг аж."
